customer_id,name,email,customer_type,signup_date,lifetime_value,region
1,Customer_1,customer_1@kalvium.community,Startup,2023-01-01,1019.2,West
2,Customer_2,customer_2@kalvium.community,Enterprise,2023-01-01,0.0,East
3,Customer_3,customer_3@kalvium.community,SMB,2023-01-01,813.32,Central
4,Customer_4,customer_4@kalvium.community,Startup,2023-01-02,505.06,North
5,Customer_5,customer_5@kalvium.community,Enterprise,2023-01-02,399.73,Central
6,Customer_6,customer_6@kalvium.community,Enterprise,2023-01-02,1079.39,North
7,Customer_7,customer_7@kalvium.community,Enterprise,2023-01-03,593.93,South
8,Customer_8,customer_8@kalvium.community,SMB,2023-01-03,1152.64,North
9,Customer_9,customer_9@kalvium.community,Startup,2023-01-03,247.53,West
10,Customer_10,customer_10@kalvium.community,SMB,2023-01-04,677.91,East
11,Customer_11,customer_11@kalvium.community,Enterprise,2023-01-04,370.15,South
12,Customer_12,customer_12@kalvium.community,Enterprise,2023-01-04,1359.13,North
13,Customer_13,customer_13@kalvium.community,SMB,2023-01-05,1112.49,Central
14,Customer_14,customer_14@kalvium.community,Enterprise,2023-01-05,311.67,South
15,Customer_15,customer_15@kalvium.community,Enterprise,2023-01-05,776.07,South
16,Customer_16,customer_16@kalvium.community,Enterprise,2023-01-06,373.8,North
17,Customer_17,customer_17@kalvium.community,Startup,2023-01-06,622.67,South
18,Customer_18,customer_18@kalvium.community,Startup,2023-01-06,334.81,Central
19,Customer_19,customer_19@kalvium.community,Startup,2023-01-07,1678.42,South
20,Customer_20,customer_20@kalvium.community,Startup,2023-01-07,1100.49,Central
21,Customer_21,customer_21@kalvium.community,Startup,2023-01-07,321.3,North
22,Customer_22,customer_22@kalvium.community,Enterprise,2023-01-08,1374.38,East
23,Customer_23,customer_23@kalvium.community,Startup,2023-01-08,458.17,South
24,Customer_24,customer_24@kalvium.community,Startup,2023-01-08,0.0,East
25,Customer_25,customer_25@kalvium.community,Startup,2023-01-09,1491.67,Central
26,Customer_26,customer_26@kalvium.community,SMB,2023-01-09,461.17,South
27,Customer_27,customer_27@kalvium.community,Enterprise,2023-01-09,58.84,West
28,Customer_28,customer_28@kalvium.community,Startup,2023-01-10,1127.98,East
29,Customer_29,customer_29@kalvium.community,Startup,2023-01-10,499.65,South
30,Customer_30,customer_30@kalvium.community,Enterprise,2023-01-10,408.85,East
31,Customer_31,customer_31@kalvium.community,Startup,2023-01-11,443.58,South
32,Customer_32,customer_32@kalvium.community,Enterprise,2023-01-11,365.69,North
33,Customer_33,customer_33@kalvium.community,Enterprise,2023-01-11,1338.4,East
